SEQ,FLUD_CAUSE,F_DSTRC_NM,F_DSSTR_NM,F_CUE_DTL,ADM_CD,WRITNG_YM,FLUD_TIME,FLUD_DPWT,DMG_AMOUNT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_WAL,CITY,ZONE,DONG,SLOPE_L,SLOPE_H,SLOPE_AVG,HIGH
32492.0,2.0,눌차지구2,태풍 “산바”로 인한 침수,태풍 산바에 의한 침수,2644012000,201302.0,59.0,0.3 M ~ 0.4 M,0.0,20120914.0,20120917.0,0.0,0.0,1.53M,부산광역시,강서구,눌차동,15.0,30.0,22.5,9.11
101999.0,1.0,대저1-2지구,태풍「다나스」에 의한 침수피해,⊙ 하천유수량 증가로 인한 범람 - 피해지구는 태풍「다나스」에의한 집중호우 시 단시간 내 평강천 유수량의 급격한 증가로 하천이 범람하여 침수피해 발생.,2644000000,201909.0,13.0,0.5~1.0,0.0,20190719.0,20190720.0,2300.0,1200.0,1.1,부산광역시,강서구,대저1동,0.0,2.0,1.0,1.77
90646.0,2.0,대저2지구,집중호우로 인한 침수 피해,집중호우 및 하천(낙동강) 수위상승으로 인한 내수 배수배제 불량,2644000000,201512.0,3.0,10cm~90cm,0.0,20140825.0,20140825.0,1400.0,1700.0,1.9~2.3,부산광역시,강서구,대저2동,0.0,2.0,1.0,1.18
32490.0,2.0,명지지구,태풍 “산바”로 인한 침수,태풍 산바에 의힌 침수,2644010400,201302.0,59.0,0.3 M ~ 0.8 M,0.0,20120914.0,20120917.0,0.0,0.0,1.58M,부산광역시,강서구,명지동,0.0,2.0,1.0,1.55
32493.0,2.0,성북지구,태풍 “산바”로 인한 침수,태풍 산바에 의한 침수,2644011900,201302.0,89.0,0.3 M ~ 0.4 M,0.0,20120914.0,20120917.0,0.0,0.0,1.53M,부산광역시,강서구,성북동,7.0,15.0,11.0,1.31
90539.0,2.0,구서1/2/3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 온천천 주변의 저지대로 유입되어 침수 발생,2641000000,201501.0,4.0,0.3~0.5,0.0,20140825.0,20140825.0,1500.0,1900.0,24.0/ 24.3/ 21.4,부산광역시,금정구,구서동,7.0,15.0,11.0,24.95
90541.0,2.0,금사1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우(단시간 집중호우 발생)2. 지표수 및 노면수가 저지대로 일시 유입3. 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 공단로와 반송로의 저지대로 유입되어 침수 발생,2641000000,201501.0,4.0,0.3~1.0,0.0,20140825.0,20140825.0,1500.0,1900.0,7.5,부산광역시,금정구,금사동,2.0,7.0,4.5,6.88
90543.0,2.0,남산2/3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 온천천의 범람으로 하천수가 저지대로 유입되어 침수 발생,2641000000,201501.0,4.0,0.3~1.0,0.0,20140825.0,20140825.0,1500.0,1900.0,38.7~36.0,부산광역시,금정구,남산동,2.0,7.0,4.5,36.22
90544.0,2.0,노포1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 중앙대로의 저지대로 유입되어 침수 발생,2641000000,201501.0,4.0,0.3~1.0,67.0,20140825.0,20140825.0,1500.0,1900.0,66.6,부산광역시,금정구,노포동,7.0,15.0,11.0,63.77
90537.0,2.0,두구1/2/3/4지구,8월25일 집중호우에 의한 침수 피해,수영강의 범람으로 하천수가 저지대로 유입되어 침수발생,2641000000,201502.0,4.0,0.3~1.0,0.0,20140825.0,20140825.0,1500.0,1900.0,51.0~53.2,부산광역시,금정구,두구동,0.0,2.0,1.0,61.97
