,SEQ,ADM_CD,SLOPE_L,SLOPE_H,SLOPE_AVG,HIGH,PUMP_RATIO,Impervious_Surface,MANHOLES_RATIO,FLUD_DPWT,FLOOD,Hourly_Rainfall,Hourly_Rainfall_Weight,Impervious_Surface_Weight,F_WEIGHT,SLOPE_AVG_Weight,HIGH_Weight
0,101997,2600000000,0.0,2,1.0,3.66,4.11522633744856e-07,62.32,0.01638683127572017,0.0,0,4.8,0.048,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.001838733986435569
1,101997,2600000000,0.0,2,1.0,3.66,4.11522633744856e-07,62.32,0.01638683127572017,0.15,0,9.6,0.576,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.001838733986435569
2,101997,2600000000,0.0,2,1.0,3.66,4.11522633744856e-07,62.32,0.01638683127572017,0.3,1,18.7,1.3090000000000002,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.001838733986435569
3,90920,2647000000,2.0,7,4.5,5.75,4.11522633744856e-07,62.32,0.01638683127572017,0.0,0,0.5,0.005,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.0028887214267771916
4,90920,2647000000,2.0,7,4.5,5.75,4.11522633744856e-07,62.32,0.01638683127572017,0.25,1,5.0,0.05,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.0028887214267771916
5,90920,2647000000,2.0,7,4.5,5.75,4.11522633744856e-07,62.32,0.01638683127572017,0.5,1,6.0,0.36,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.0028887214267771916
6,90920,2647000000,2.0,7,4.5,5.75,4.11522633744856e-07,62.32,0.01638683127572017,0.75,1,19.5,1.3650000000000002,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.0028887214267771916
7,90920,2647000000,2.0,7,4.5,5.75,4.11522633744856e-07,62.32,0.01638683127572017,1.0,1,84.5,88.72500000000001,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.0028887214267771916
8,90921,2647000000,2.0,7,4.5,6.2,4.11522633744856e-07,62.32,0.01638683127572017,0.0,0,0.5,0.005,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.00311479527756845
9,90921,2647000000,2.0,7,4.5,6.2,4.11522633744856e-07,62.32,0.01638683127572017,0.125,0,5.0,0.05,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.00311479527756845
