SEQ,ADM_CD,ZONE,DONG,DISTRICT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_TIME,FLUD_DPWT,SLOPE_L,SLOPE_H,SLOPE_AVG,HIGH
30581,2638010500,사하구,장림동,장림지구,20090716,20090716,800,1200,4,0,7,15,11,1.98
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600,1000,4,0,2,7,4.5,3.12
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700,1100,4,0,7,15,11,2.1
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700,1100,4,0,7,15,11,3.47
30585,2635010800,해운대구,송정동,송정지구1-3,20090716,20090716,700,1100,4,0,2,7,4.5,3.92
30586,2635010800,해운대구,송정동,송정지구1-4,20090716,20090716,700,1100,4,0,60,100,80,0.3
30587,2635010600,해운대구,중동,중동지구,20090716,20090716,700,1100,4,0,7,15,11,4.65
30907,2629000000,남구,용호동,용호지구,20110727,20110727,700,1300,6,0,15,30,22.5,3.77
32490,2644010400,강서구,명지동,명지지구,20120914,20120917,0,0,59,0,0,2,1,1.55
32491,2644012000,강서구,눌차동,눌차지구1,20120914,20120917,0,0,59,0,15,30,22.5,1.63
32492,2644012000,강서구,눌차동,눌차지구2,20120914,20120917,0,0,59,0,7,15,11,9.11
32493,2644011900,강서구,성북동,성북지구,20120914,20120917,0,0,89,0,15,30,22.5,1.31
32495,2620010700,영도구,남항동3가,영도구 남항지구,20110727,20110728,,,,0,2,7,4.5,1.94
32496,2620012000,영도구,청학동,청학지구,20110727,20110728,,,,0,2,7,4.5,3.18
40029,2647010100,연제구,거제동,거제지구,20090716,20090716,800,1200,4,0,7,15,11,4.7
40030,2647010200,연제구,연산동,연동지구,20090716,20090716,800,1200,4,0,15,30,22.5,5.28
40031,2647010200,연제구,연산동,한양지구,20090716,20090716,800,1200,4,0,7,15,11,5.64
40137,2638010100,사하구,괴정동,괴정지구,20110727,20110728,0,0,24,0,30,60,45,26.51
40138,2638010800,사하구,감천동,감천지구,20110727,20110728,0,0,24,0,7,15,11,6.42
90345,2638010300,사하구,하단동,하단지구1,20120714,20120715,23,20,20,0,15,30,22.5,2.38
90346,2638010300,사하구,하단동,하단지구2,20120714,20120715,23,20,22,0,30,60,45,2.4
90347,2638010300,사하구,하단동,하단지구3,20120714,20120715,23,20,22,0,15,30,22.5,1.99
90348,2638010300,사하구,하단동,하단지구4,20120714,20120715,23,20,22,0,2,7,4.5,4.76
90516,2650000000,수영구,민락동,수영1지구,20140825,20140825,1500,1700,2,0,7,15,11,2.72
90517,2650000000,수영구,수영동,수영2지구,20140825,20140825,1500,1700,2,0,7,15,11,3.44
