SEQ,FLUD_CAUSE,F_DSTRC_NM,F_DSSTR_NM,F_CUE_DTL,ADM_CD,WRITNG_YM,FLUD_TIME,FLUD_DPWT,DMG_AMOUNT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_WAL,CODE,ZONE,DONG
30581,2,장림지구,호우피해,집중호우로 인한 하수 범람,2638010500,200912.0,4.0,0.433 M,4668000000.0,20090716,20090716,800,1200,2.21M,2638010500,사하구,장림동
30582,2,남천지구,침수피해,집중호우,2650010500,200912.0,4.0,0 M~ 1 M,0.0,20090716,20090716,600,1000,3M,2650010500,수영구,남천동
30583,2,송정지구1-1,호우피해,집중호우로 인한 하천 범람,2635010800,200912.0,4.0,0.55 M,55000000.0,20090716,20090716,700,1100,3.1M,2635010800,해운대구,송정동
30584,2,송정지구1-2,호우피해,집중호우로 인한 하천 범람,2635010800,200912.0,4.0,0.4 M,50000000.0,20090716,20090716,700,1100,3.28M,2635010800,해운대구,송정동
30585,2,송정지구1-3,호우피해,집중호우로 인한 하천 범람,2635010800,200912.0,4.0,0.45 M,45000000.0,20090716,20090716,700,1100,4.87M,2635010800,해운대구,송정동
30586,2,송정지구1-4,호우피해,집중호우로 인한 하천 범람,2635010800,200912.0,4.0,0.53 M,36000000.0,20090716,20090716,700,1100,3.53M,2635010800,해운대구,송정동
30587,2,중동지구,호우피해,집중호우로 인한 바닷물 역류,2635010600,200912.0,4.0,0.4 M,40000000.0,20090716,20090716,700,1100,5.53M,2635010600,해운대구,중동
30907,2,용호지구,집중호우,집중호우로 인한 주택침수,2629000000,201201.0,6.0,0.2M ~ 1.8M,0.0,20110727,20110727,700,1300,14.5M,2629000000,남구,
32490,2,명지지구,태풍 “산바”로 인한 침수,태풍 산바에 의힌 침수,2644010400,201302.0,59.0,0.3 M ~ 0.8 M,0.0,20120914,20120917,0,0,1.58M,2644010400,강서구,명지동
32491,2,눌차지구1,태풍 “산바”로 인한 침수,태풍 산바에 의한 침수,2644012000,201302.0,59.0,0.3 M ~ 0.4 M,0.0,20120914,20120917,0,0,1.55M,2644012000,강서구,눌차동
32492,2,눌차지구2,태풍 “산바”로 인한 침수,태풍 산바에 의한 침수,2644012000,201302.0,59.0,0.3 M ~ 0.4 M,0.0,20120914,20120917,0,0,1.53M,2644012000,강서구,눌차동
32493,2,성북지구,태풍 “산바”로 인한 침수,태풍 산바에 의한 침수,2644011900,201302.0,89.0,0.3 M ~ 0.4 M,0.0,20120914,20120917,0,0,1.53M,2644011900,강서구,성북동
32495,3,영도구 남항지구,집중호우로 인한 주택 및 도로침수,집중호우에 의한 주택침수,2620010700,201302.0,,0.1 M ~ 0.7 M,,20110727,20110728,,,-3.22M,2620010700,영도구,남항동3가
32496,3,청학지구,집중호우로 인한 주택 및 도로침수,집중호우에 의한 도로침수,2620012000,201302.0,,0.1 M ~ 0.2 M,,20110727,20110728,,,3.19M,2620012000,영도구,청학동
90345,3,하단지구1,2012 집중호우,집중호우,2638010300,201312.0,20.0,0.42M~0.42M,0.0,20120714,20120715,23,20,3.19M,2638010300,사하구,하단동
90346,3,하단지구2,2012년 집중호우,집중호우에의한 하수역류,2638010300,201312.0,22.0,0.38M~0.823M,0.0,20120714,20120715,23,20,2.17M,2638010300,사하구,하단동
90347,3,하단지구3,2012년 집중호우,집중호우,2638010300,201312.0,22.0,0.442M~0.653M,0.0,20120714,20120715,23,20,1.87M,2638010300,사하구,하단동
90348,3,하단지구4,2012년 집중호우,집중호우에의한 하수역류,2638010300,201312.0,22.0,0.48M~0.48M,0.0,20120714,20120715,23,20,2M,2638010300,사하구,하단동
40029,2,거제지구,국지성 집중호우,집중호우로 인한 하수 범람,2647010100,201301.0,4.0,0.5 M,0.0,20090716,20090716,800,1200,4.64M,2647010100,연제구,거제동
40030,2,연동지구,국지성 집중호우,집중호우로 인한 하수 범람,2647010200,201301.0,4.0,0.7 M,0.0,20090716,20090716,800,1200,4.45M,2647010200,연제구,연산동
40031,2,한양지구,국지성 집중호우,집중호우로 인한 하수 범람,2647010200,201301.0,4.0,0.38 M,0.0,20090716,20090716,800,1200,3.53M,2647010200,연제구,연산동
40137,2,괴정지구,집중호우,집중호우에 의한 주택침수,2638010100,201301.0,24.0,0.2 M~ 0.8 M,0.0,20110727,20110728,0,0,5.2M,2638010100,사하구,괴정동
40138,2,감천지구,집중호우,집중호우에 의한 주택침수,2638010800,201301.0,24.0,0.4 M~ 0.7 M,0.0,20110727,20110728,0,0,5.2M,2638010800,사하구,감천동
90654,1,송정1지구,태풍 '차바'에 의한 침수피해,1. 하수/우수관거 용량 부족- 짧은 시간동안 많은 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 송정천 수위 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.,2635000000,201701.0,2.0,0.3m~0.5m,0.0,20161005,20161005,900,1100,6884.5,2635000000,해운대구,
90653,1,송정2지구,태풍 '차바'에 의한 침수피해,1. 하수/우수관거 용량 부족- 짧은 시간동안 많은 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 상승 및 태풍 차바의 영향으로 월파 침수피해 발생.,2635000000,201701.0,2.0,0.3m~0.5m,0.0,20161005,20161005,900,1100,1175.1,2635000000,해운대구,
90593,2,덕천1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501.0,2.0,0.5m(최저)~0.6m(최고),0.0,20140825,20140825,1400,1600,EL. 5.8m,2632000000,북구,
90673,1,민락1지구,태풍 '차바'에 의한 침수피해,1. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수 및 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 만조위 및 태풍의 영향으로 월파한 해수가 저지대로 유입되어 침수 발생.,2650000000,201702.0,2.0,0.3m~0.5m,8707000300.0,20161005,20161005,900,1100,79408.8,2650000000,수영구,
90595,2,덕천3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501.0,2.0,0.3m(최저)~0.6m(최고),0.0,20140825,20140825,1400,1600,EL. 53.0m,2632000000,북구,
