,SEQ,FLUD_CAUSE,F_DSTRC_NM,F_DSSTR_NM,F_CUE_DTL,ADM_CD,WRITNG_YM,FLUD_TIME,FLUD_DPWT,DMG_AMOUNT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_WAL,CITY,ZONE,DONG,FLUD_DPWT,SLOPE_L,SLOPE_H,SLOPE_AVG,HIGH
126,101997,1,신금로 지구,태풍다나스,,2600000000,201909,5,0.3m~0.5m,0,20190720,20190720,1000,1500,3.3~3.5,부산광역시,연제구,연산동,0.3,0,2,1,3.66
113,90647,1,송도해수욕장,2016년 태풍 차바,태풍으로 인한 집중호우 및 해수면 상승으로 월파 피해,2614000000,201611,2,0.5~1.5m,0,20161005,20161005,900,1100,3.6m,부산광역시,서구,암남동,0.808,7,15,11,1.92
112,90645,1,암남공원,2016년 태풍 차바,태풍으로 인한 집중호우 및 해수면 상승으로 월파 피해,2614000000,201611,2,2.8m,0,20161005,20161005,900,1100,0.5~1.0m,부산광역시,서구,암남동,0.8,15,30,22.5,6.74
121,101469,2,부산진시장,2017년동구집중호우,집중호우에 따른 집중호우,2617000000,201808,3,0.3~0.5,0,20170911,20170911,800,1100,2.5~2.7,부산광역시,동구,범일동,0.4,0,2,1,2.96
123,101471,2,부산진시장,2017년9월동구집중호우,,2617000000,201809,3,0.5,0,20170911,20170911,800,900,2.5~2.7,부산광역시,동구,범일동,0.5,0,2,1,2.96
124,101472,2,부산진시장,2017년 9월 동구 집중호우,,2617000000,201808,3,0.5,0,20170911,20170911,800,1100,2.5~2.7m,부산광역시,동구,범일동,0.5,0,2,1,2.96
120,101468,2,부산진시장일원,2017년9월동구집중호우,집중호우에 따른 침수피해,2617000000,201808,3,0.3~0.5,0,20170911,20170911,800,1100,2.5~2.7,부산광역시,동구,범일동,0.4,0,2,1,2.62
122,101470,2,자성대아파트,2017년동구집중호우,집중호우로 저지대 침수피해,2617000000,201808,3,0.3~0.5,0,20170911,20170911,800,1100,1.2,부산광역시,동구,범일동,0.4,0,2,1,1.57
125,101619,1,영도구 동삼동 감지해변,"태풍""콩레이""에 의한 침수피해",너울에 의한 배수 불량,2620000000,201811,2,0.5,0,20181006,20181006,900,1100,0.3~0.5,부산광역시,영도구,동삼동,0.5,30,60,45,31.3
12,32495,3,영도구 남항지구,집중호우로 인한 주택 및 도로침수,집중호우에 의한 주택침수,2620010700,201302,,0.1 M ~ 0.7 M,,20110727,20110728,,,-3.22M,부산광역시,영도구,남항동3가,0.495,0,2,1,1.94
13,32496,3,청학지구,집중호우로 인한 주택 및 도로침수,집중호우에 의한 도로침수,2620012000,201302,,0.1 M ~ 0.2 M,,20110727,20110728,,,3.19M,부산광역시,영도구,청학동,0.104,0,2,1,3.18
69,90566,2,가야동1지구,폭우로 인한 침수피해,집중호우로로 인한 배수배재 불량,2623000000,201501,2,0.3~0.7,0,20140825,20140825,1500,1700,31.4,부산광역시,부산진구,가야동,0.731,2,7,4.5,33.43
90,90558,2,명륜1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 시실로 일원에서 많은 양의 우수가 저지대인 명륜1지구로 유입되어    침수 발생,2626000000,201501,4,0.3~1.0,0,20140825,20140825,1500,1900,8.2,부산광역시,동래구,명륜동,0.177,2,7,4.5,9.37
91,90559,2,명륜2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 인근 도로에서 많은 양의 우수가 유입되었으나 배수가 원활하지 못해   침수 발생,2626000000,201501,4,0.5~1.0,0,20140825,20140825,1500,1900,6.5,부산광역시,동래구,명륜동,0.794,0,2,1,7.64
94,90564,2,사직1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 온천천의 만수위로 사직2동 일원의 우수가 하수관거에서 배수불량으로 흐름이 원활하지 못하여 침수 발생,2626000000,201501,4,0.3~0.5,0,20140825,20140825,1500,1900,5.5,부산광역시,동래구,사직동,0.465,1,5,3,6.53
