CODE,ZONE,DONG
2611000000,중구,
2611010100,중구,영주동
2611010200,중구,대창동1가
2611010300,중구,대창동2가
2611010400,중구,중앙동1가
2611010500,중구,중앙동2가
2611010600,중구,중앙동3가
2611010700,중구,중앙동4가
2611010800,중구,중앙동5가
2611010900,중구,중앙동6가
2611011000,중구,중앙동7가
2611011100,중구,동광동1가
2611011200,중구,동광동2가
2611011300,중구,동광동3가
2611011400,중구,동광동4가
2611011500,중구,동광동5가
2611011600,중구,대청동1가
2611011700,중구,대청동2가
2611011800,중구,대청동3가
2611011900,중구,대청동4가
2611012000,중구,보수동1가
2611012100,중구,보수동2가
2611012200,중구,보수동3가
2611012300,중구,부평동1가
2611012400,중구,부평동2가
2611012500,중구,부평동3가
2611012600,중구,부평동4가
2611012700,중구,신창동1가
2611012800,중구,신창동2가
2611012900,중구,신창동3가
2611013000,중구,신창동4가
2611013100,중구,창선동1가
2611013200,중구,창선동2가
2611013300,중구,광복동1가
2611013400,중구,광복동2가
2611013500,중구,광복동3가
2611013600,중구,남포동1가
2611013700,중구,남포동2가
2611013800,중구,남포동3가
2611013900,중구,남포동4가
2611014000,중구,남포동5가
2611014100,중구,남포동6가
2614000000,서구,
2614010100,서구,동대신동1가
2614010200,서구,동대신동2가
2614010300,서구,동대신동3가
2614010400,서구,서대신동1가
2614010500,서구,서대신동2가
2614010600,서구,서대신동3가
2614010700,서구,부용동1가
2614010800,서구,부용동2가
2614010900,서구,부민동1가
2614011000,서구,부민동2가
2614011100,서구,부민동3가
2614011200,서구,토성동1가
2614011300,서구,토성동2가
2614011400,서구,토성동3가
2614011500,서구,아미동1가
2614011600,서구,아미동2가
2614011700,서구,토성동4가
2614011800,서구,토성동5가
2614011900,서구,초장동
2614012000,서구,충무동1가
2614012100,서구,충무동2가
2614012200,서구,충무동3가
2614012300,서구,남부민동
2614012400,서구,암남동
2617000000,동구,
2617010100,동구,초량동
2617010200,동구,수정동
2617010300,동구,좌천동
2617010400,동구,범일동
2620000000,영도구,
2620010100,영도구,대교동1가
2620010200,영도구,대교동2가
2620010300,영도구,대평동1가
2620010400,영도구,대평동2가
2620010500,영도구,남항동1가
2620010600,영도구,남항동2가
2620010700,영도구,남항동3가
2620010800,영도구,영선동1가
2620010900,영도구,영선동2가
2620011000,영도구,영선동3가
2620011100,영도구,영선동4가
2620011200,영도구,신선동1가
2620011300,영도구,신선동2가
2620011400,영도구,신선동3가
2620011500,영도구,봉래동1가
2620011600,영도구,봉래동2가
2620011700,영도구,봉래동3가
2620011800,영도구,봉래동4가
2620011900,영도구,봉래동5가
2620012000,영도구,청학동
2620012100,영도구,동삼동
2623000000,부산진구,
2623010100,부산진구,양정동
2623010200,부산진구,전포동
2623010300,부산진구,부전동
2623010400,부산진구,범천동
2623010500,부산진구,범전동
2623010600,부산진구,연지동
2623010700,부산진구,초읍동
2623010800,부산진구,부암동
2623010900,부산진구,당감동
2623011000,부산진구,가야동
2623011100,부산진구,개금동
2626000000,동래구,
2626010100,동래구,명장동
2626010200,동래구,안락동
2626010300,동래구,칠산동
2626010400,동래구,낙민동
2626010500,동래구,복천동
2626010600,동래구,수안동
2626010700,동래구,명륜동
2626010800,동래구,온천동
2626010900,동래구,사직동
2629000000,남구,
2629010600,남구,대연동
2629010700,남구,용호동
2629010800,남구,용당동
2629010900,남구,문현동
2629011000,남구,우암동
2629011100,남구,감만동
2632000000,북구,
2632010100,북구,금곡동
2632010200,북구,화명동
2632010300,북구,만덕동
2632010400,북구,덕천동
2632010500,북구,구포동
2635000000,해운대구,
2635010100,해운대구,반송동
2635010200,해운대구,석대동
2635010300,해운대구,반여동
2635010400,해운대구,재송동
2635010500,해운대구,우동
2635010600,해운대구,중동
2635010700,해운대구,좌동
2635010800,해운대구,송정동
2638000000,사하구,
2638010100,사하구,괴정동
2638010200,사하구,당리동
2638010300,사하구,하단동
2638010400,사하구,신평동
2638010500,사하구,장림동
2638010600,사하구,다대동
2638010700,사하구,구평동
2638010800,사하구,감천동
2641000000,금정구,
2641010100,금정구,두구동
2641010200,금정구,노포동
2641010300,금정구,청룡동
2641010400,금정구,남산동
2641010500,금정구,선동
2641010600,금정구,오륜동
2641010700,금정구,구서동
2641010800,금정구,장전동
2641010900,금정구,부곡동
2641011000,금정구,서동
2641011100,금정구,금사동
2641011200,금정구,회동동
2641011300,금정구,금성동
2644000000,강서구,
2644010100,강서구,대저1동
2644010200,강서구,대저2동
2644010300,강서구,강동동
2644010400,강서구,명지동
2644010500,강서구,죽림동
2644010600,강서구,식만동
2644010700,강서구,죽동동
2644010800,강서구,봉림동
2644010900,강서구,송정동
2644011000,강서구,화전동
2644011100,강서구,녹산동
2644011200,강서구,생곡동
2644011300,강서구,구랑동
2644011400,강서구,지사동
2644011500,강서구,미음동
2644011600,강서구,범방동
2644011700,강서구,신호동
2644011800,강서구,동선동
2644011900,강서구,성북동
2644012000,강서구,눌차동
2644012100,강서구,천성동
2644012200,강서구,대항동
2647000000,연제구,
2647010100,연제구,거제동
2647010200,연제구,연산동
2650000000,수영구,
2650010100,수영구,망미동
2650010200,수영구,수영동
2650010300,수영구,민락동
2650010400,수영구,광안동
2650010500,수영구,남천동
2653000000,사상구,
2653010100,사상구,삼락동
2653010200,사상구,모라동
2653010300,사상구,덕포동
2653010400,사상구,괘법동
2653010500,사상구,감전동
2653010600,사상구,주례동
2653010700,사상구,학장동
2653010800,사상구,엄궁동
2671000000,기장군,
2671025000,기장군,기장읍
2671025300,기장군,장안읍
2671025600,기장군,정관읍
2671031000,기장군,일광면
2671033000,기장군,철마면
