ZONE,IMP_SUR_RATIO,ZONE_AREA,PUMP_RATIO,F_GRADE,F_PERCENTAGE,F_WEIGHT,CODE
강서구,24.36,1848800000.0,1.1899610558199913e-07,3.0,13.33,0.07501875468867217,2644000000
금정구,18.94,657300000.0,3.0427506465845126e-08,1.0,60.0,0.016666666666666666,2641000000
기장군,7.7,2198800000.0,1.3643805712206659e-08,1.0,60.0,0.016666666666666666,2671000000
남구,51.82,272800000.0,2.565982404692082e-07,1.0,60.0,0.016666666666666666,2629000000
동구,57.92,100900000.0,1.9821605550049554e-07,1.0,60.0,0.016666666666666666,2617000000
동래구,59.03,166700000.00000003,2.3995200959808034e-07,1.0,60.0,0.016666666666666666,2626000000
북구,22.17,397600000.0,1.5090543259557345e-07,1.0,60.0,0.016666666666666666,2632000000
사상구,40.23,362500000.0,3.8620689655172415e-07,1.0,60.0,0.016666666666666666,2653000000
사하구,38.2,471100000.0,1.485884101040119e-07,5.0,6.67,0.14992503748125938,2638000000
연제구,62.32,121500000.0,4.11522633744856e-07,4.0,13.33,0.07501875468867217,2647000000
해운대구,27.63,523200000.0,2.102446483180428e-07,3.0,13.33,0.07501875468867217,2635000000
중구,81.61,30099999.999999996,0.0,0.0,0.0,0.0,2611000000
영도구,45.77,146300000.0,0.0,2.0,6.67,0.14992503748125938,2620000000
수영구,61.44,103500000.0,0.0,4.0,13.33,0.07501875468867217,2650000000
서구,40.57,141400000.0,0.0,1.0,60.0,0.016666666666666666,2614000000
부산진구,45.91,297800000.0,0.0,1.0,60.0,0.016666666666666666,2623000000
