SEQ,FLUD_CAUSE,F_DSTRC_NM,F_DSSTR_NM,F_CUE_DTL,ADM_CD,WRITNG_YM,FLUD_TIME,FLUD_DPWT,DMG_AMOUNT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_WAL
32614,2,동광1지구,태풍'볼라벤'으로 인한 침수,하수구에서 물이 넘쳐 대지로 유입. 우수집중유입,5013031028,201302,0,,0,20120827,20120828,0,0,28.7M
32615,2,동광2지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮아 우수집중유입,5013031028,201302,0,,0,20120827,20120828,0,0,28.7M
32616,2,사계1지구,태풍'볼라벤'으로 인한 침수,도로에서 우수가 집중유입되어 침수,5013031025,201302,0,,0,20120827,20120828,0,0,28.7M
32617,2,화순1지구,태풍'볼라벤'으로 인한 침수,지대가 낮아 도로에서 우수 유입,5013031021,201302,0,,0,20120827,20120828,0,0,28.7M
32618,2,화순2지구,태풍'볼라벤'으로 인한 침수,지대가 낮아 도로및 주위 높은 지대에서 우수유입,5013031021,201302,0,,0,20120827,20120828,0,0,28.7M
32619,2,화순3지구,태풍'볼라벤'으로 인한 침수,지대가 다른 필지에 비해 낮아 우수집중유입,5013031021,201302,0,,0,20120827,20120828,0,0,28.7M
32620,2,남원1지구,태풍'볼라벤'으로 인한 침수,태풍으로 인한 바닷물유입,5013025321,201302,0,,0,20120827,20120828,0,0,31.7M
32621,2,남원2지구,태풍'볼라벤'으로 인한 침수,태풍으로 인한 바닷물 유입,5013025321,201302,0,,0,20120827,20120828,0,0,31.7M
32622,2,신례1지구,태풍'볼라벤'으로 인한 침수,파도에 의한 해수유입,5013025329,201302,0,,0,20120827,20120828,0,0,31.7M
32623,2,신례2지구,태풍'볼라벤'으로 인한 침수,파도에 의한 해수유입,5013025329,201302,0,,0,20120827,20120828,0,0,31.7M
32624,2,신례3지구,태풍'볼라벤'으로 인한 침수,파도에 의한 해수유입,5013025329,201302,0,,0,20120827,20120828,0,0,31.7M
32625,2,신례4지구,태풍'볼라벤'으로 인한 침수,파도에 의한 해수유입,5013025329,201302,0,,0,20120827,20120828,0,0,31.7M
32626,2,신례5지구,태풍'볼라벤'으로 인한 침수,지대가 낮아 해수가 해안도로에서 유입,5013025329,201302,0,,0,20120827,20120828,0,0,31.7M
