구군,배수펌프장명,위치,펌프시설 전동기(HP),펌프시설 엔진(HP),펌프시설 설치년도,설계빈도(년),배수량(㎥/분),비상발전기 시설,비상발전기 시설년도,유수지 면적(㎡),유수지 용량(㎡),비고
동래구,명륜,온천천로 203,"400×1(A), 400×1(B), 400×1(C), 400×1(D)",-,"2012(A), 2014(B), 2016(C), 2017(D)",30,784,"1250KW×1, 600KW×2","2018, 2011",400,1200,내수배제
동래구,수안,명륜로 70,46×2,-,2010,30,60,한전2회선,-,-,-,내수배제
동래구,낙민,온천천로 339번길28,40×2,-,2011,30,40,한전2회선,-,-,-,내수배제
동구,자성대1,자성로140번길33,60×2,-,2014,10,140,발전기임대협약,-,-,-,내수배제
동구,자성대2,자성로140번길36,200×2,-,2017,30,300,발전기임대협약,-,-,-,내수배제
남구,동천1,전포대로 91번길47,50×3,-,2001,30,75,155KVA×1,2001,2236,2236,내수배제
남구,동천2,남동천로 8-2,50×2,-,2009,50,40,한전2회선,,128,128,내수배제
남구,송선마을,신선로 514,100×2,-,2012,30,180,300kW×1,2012,232,232,내수배제
남구,용호,이기대공원로 7,"300×1, 200×2",-,2012,30,420,한전2회선,,760,3800,내수배제
남구,삼성시장,용호동 261-5일원,20×2,-,2015,30,18,한전2회선,,483,1111,내수배제
북구,덕천,낙동대로 1739번길16,1300×4,-,1990,10,2500,"990KVA×4(A), 990KVA×4(B)","1996(A), 2007(B)",11600,29000,내수배제
북구,구포,낙동대로 1769,150×3,-,2020,30,225,450KVA×1,2012,310,775,내수배제
북구,구남,구포만세길 10,"100×2, 60×2",-,2003,20,80,375KVA×1,2003,246,246,내수배제
해운대구,춘천,해운대 해변로 209 번가길32,"670×3, 250×1",-,1995,30,1070,한전2회선,,1246,6000,내수배제
해운대구,반여1,수영강변대로 353,85×2,-,1992,30,100,320㎾×1,1992,500,1700,내수배제
해운대구,반여2,수영강변대로 606,750×4,-,2002,30,1460,한전2회선,2002,1010,8500,내수배제
해운대구,반여3,선수촌로 119,50×2,-,2003,30,44,145㎾×1,2003,38,75,내수배제
해운대구,송정1게이트,송정강변로 51,80×2,-,2013,50,120,250㎾×1(송정1·2게이트),2013,-,-,내수배제
해운대구,송정2게이트,송정중앙로 15번길 120-3,80×2,-,2013,50,120,,,-,-,내수배제
해운대구,송정,해운대로 1100,100×4,-,2012,50,120,한전2회선,-,600,1800,내수배제
사하구,장림1,하신중앙로53번길65,"450×3(A), 120×2(B), 450×1(C), 500×1(D), 500×1(E), 100×3(F), 150×3(G), 200×3(H)",600×1(I),"2014(A), 2015(B), 2016(C), 2017(D), 2018(E), 2010(F), 2011(G), 2013(H), 2005(I)",50,3524,"한전2회선, 1,500㎾×2",2015,56500,72800,내수배제
사하구,장림2,을숙도대로 480번길40,"300×1(A), 250×2(B)","350×1(C), 350×1(D)","2009(A), 2011(B), 2012(C), 2013(D)",50,980,1000kvA×1,"2015(A),2011(B)",7030,21090,내수배제
사하구,하단1,하신번영로243,"250×2(A), 295×1(B), 250×1(C)",320×1(D),"2013(A), 2010(B), 2014(C), 2014(D)",50,1006,"1,500㎾×1",2014,6268,18804,내수배제
사하구,하단2,하단동 1163일원,"500×4(A), 147×2(B)",,"2018(A), 2017(B)",50,1200,한전2회선,-,-,-,내수배제
연제구,연산9동,온천천남로110 (한양아파트)앞,120×2,-,2011,30,100,250㎾×1,2011,10,61,내수배제
연제구,거제,반송로 107,580×9,-,2017,30,3960,한전2회선,-,-,-,내수배제
,거제,거제천로269번길41,580×2,-,,,,,,,,
