DONG,RAINFALL,HOUR
강서구,0,0
강서구,0,1
강서구,0,2
강서구,0,3
강서구,0,4
강서구,0,5
강서구,0,6
강서구,1.5,7
강서구,2.8,8
강서구,0.2,9
강서구,0.3,10
강서구,0.2,11
강서구,0.5,12
강서구,0.8,13
강서구,0.7,14
강서구,7,15
강서구,3.8,16
강서구,4.5,17
강서구,1.2,18
강서구,0.5,19
강서구,2.8,20
강서구,24.2,21
강서구,17.8,22
강서구,28.7,23
강서구,5,24
강서구,0,25
강서구,0,26
강서구,0,27
금정구,0,0
금정구,0,1
금정구,0.5,2
금정구,0,3
금정구,0,4
금정구,0,5
금정구,0,6
금정구,0.5,7
금정구,2,8
금정구,0,9
금정구,1,10
금정구,0.5,11
금정구,0.5,12
금정구,1.5,13
금정구,1,14
금정구,6,15
금정구,3.5,16
금정구,6.5,17
금정구,2.5,18
금정구,3.5,19
금정구,7.5,20
금정구,15,21
금정구,40,22
금정구,11,23
금정구,33.5,24
금정구,0.5,25
금정구,0,26
금정구,0,27
기장군,0,0
기장군,0.5,1
기장군,0,2
기장군,0,3
기장군,0,4
기장군,0,5
기장군,0,6
기장군,0.5,7
기장군,1,8
기장군,0.5,9
기장군,0.5,10
기장군,0.5,11
기장군,0,12
기장군,1.5,13
기장군,0.5,14
기장군,5.5,15
기장군,3.5,16
기장군,16.5,17
기장군,6,18
기장군,15,19
기장군,20,20
기장군,11,21
기장군,69.5,22
기장군,30,23
기장군,22.5,24
기장군,0,25
기장군,0,26
기장군,0,27
남구,0,0
남구,0,1
남구,0,2
남구,0,3
남구,0,4
남구,0,5
남구,0,6
남구,1.5,7
남구,3.5,8
남구,0.5,9
남구,0,10
남구,0.5,11
남구,0.5,12
남구,0.5,13
남구,0,14
남구,7,15
남구,4.5,16
남구,5.5,17
남구,16.5,18
남구,17,19
남구,17.5,20
남구,9.5,21
남구,69,22
남구,7.5,23
남구,3.5,24
남구,0,25
남구,0,26
남구,0,27
동래구,0.5,0
동래구,0,1
동래구,0,2
동래구,0,3
동래구,0,4
동래구,0,5
동래구,0,6
동래구,0,7
동래구,2.5,8
동래구,0.5,9
동래구,0,10
동래구,0.5,11
동래구,0.5,12
동래구,0.5,13
동래구,1,14
동래구,6.5,15
동래구,4.5,16
동래구,5.5,17
동래구,6.5,18
동래구,9.5,19
동래구,6,20
동래구,25.5,21
동래구,64.5,22
동래구,20.5,23
동래구,37,24
동래구,0.5,25
동래구,0,26
동래구,0,27
부산진구,0,0
부산진구,0,1
부산진구,0,2
부산진구,0,3
부산진구,0,4
부산진구,0,5
부산진구,0,6
부산진구,1.5,7
부산진구,3.5,8
부산진구,0,9
부산진구,0.5,10
부산진구,0,11
부산진구,0.5,12
부산진구,1,13
부산진구,1,14
부산진구,5.5,15
부산진구,10,16
부산진구,6,17
부산진구,1.5,18
부산진구,7,19
부산진구,7,20
부산진구,35.5,21
부산진구,28,22
부산진구,24.5,23
부산진구,20,24
부산진구,10,25
부산진구,0,26
부산진구,0,27
북구,0,0
북구,0,1
북구,0,2
북구,0,3
북구,0,4
북구,0,5
북구,0,6
북구,0.5,7
북구,3.5,8
북구,0,9
북구,0,10
북구,0,11
북구,0.5,12
북구,1,13
북구,0.5,14
북구,4,15
북구,4,16
북구,3.5,17
북구,1,18
북구,2,19
북구,2,20
북구,26,21
북구,15,22
북구,17.5,23
북구,15,24
북구,0,25
북구,0,26
북구,0,27
사상구,0,0
사상구,0,1
사상구,0,2
사상구,0,3
사상구,0,4
사상구,0,5
사상구,0,6
사상구,1,7
사상구,3.5,8
사상구,0,9
사상구,0.5,10
사상구,0,11
사상구,0.5,12
사상구,0.5,13
사상구,1,14
사상구,3.5,15
사상구,5.5,16
사상구,2,17
사상구,0.5,18
사상구,1.5,19
사상구,2,20
사상구,28,21
사상구,24.5,22
사상구,20,23
사상구,10,24
사상구,0,25
사상구,0,26
사상구,0,27
사하구,0,0
사하구,0,1
사하구,0,2
사하구,0,3
사하구,0,4
사하구,0,5
사하구,0.5,6
사하구,1.5,7
사하구,3,8
사하구,0.5,9
사하구,0,10
사하구,0.5,11
사하구,0.5,12
사하구,0.5,13
사하구,1,14
사하구,7.5,15
사하구,9,16
사하구,4,17
사하구,3,18
사하구,4.5,19
사하구,5.5,20
사하구,38,21
사하구,60.5,22
사하구,16.5,23
사하구,93.5,24
사하구,33,25
사하구,16.5,26
사하구,0,27
서구,0,0
서구,0,1
서구,0,2
서구,0,3
서구,0,4
서구,0,5
서구,0,6
서구,1.5,7
서구,3,8
서구,0.5,9
서구,0.5,10
서구,0.5,11
서구,0.5,12
서구,1,13
서구,1,14
서구,5.5,15
서구,7,16
서구,2.5,17
서구,1.5,18
서구,6,19
서구,5.5,20
서구,29.5,21
서구,43.5,22
서구,15,23
서구,24.5,24
서구,0,25
서구,0,26
서구,0,27
영도구,0,0
영도구,0,1
영도구,0,2
영도구,0,3
