ADM_CD,ZONE,PUMP_RATIO,IMP_SUR_RATIO,MANHOLES_RATIO
2644000000,강서구,1.18996E-07,24.36,0.006943964
2641000000,금정구,3.04275E-08,18.94,0.004688879
2671000000,기장군,1.36438E-08,7.7,0.001618155
2629000000,남구,2.56598E-07,51.82,0.011568915
2617000000,동구,1.98216E-07,57.92,0.023885035
2626000000,동래구,2.39952E-07,59.03,0.018986203
2632000000,북구,1.50905E-07,22.17,0.017208249
2653000000,사상구,3.86207E-07,40.23,0.01393931
2638000000,사하구,1.48588E-07,38.2,0.017684143
2647000000,연제구,4.11523E-07,62.32,0.016386831
2635000000,해운대구,2.10245E-07,27.63,0.016808104
2611000000,중구,0,81.61,0.025681063
2620000000,영도구,0,45.77,0.013082707
2650000000,수영구,0,61.44,0.018647343
2614000000,서구,0,40.57,0.009250354
2623000000,부산진구,0,45.91,0.022098724
