index,ADM_CD,ZONE,Dong,SLOPE_AVG,HIGH,PUMP_RATIO,IMP_SUR_RATIO,MANHOLES_RATIO,X,Y
0,2644012000,강서구,눌차동,22.5,9.11,1.1900000000000001e-07,24.36,0.00694396365,96,76
1,2644010400,강서구,명지동,1.0,1.55,1.1900000000000001e-07,24.36,0.00694396365,96,76
2,2644010100,강서구,대저1동,1.0,1.77,1.1900000000000001e-07,24.36,0.00694396365,96,76
3,2644010200,강서구,대저2동,1.0,1.18,1.1900000000000001e-07,24.36,0.00694396365,96,76
4,2644011900,강서구,성북동,11.0,1.31,1.1900000000000001e-07,24.36,0.00694396365,96,76
5,2641010800,금정구,장전동,4.5,15.16,3.04e-08,18.94,0.00468887875,98,77
6,2641010900,금정구,부곡동,4.5,12.94,3.04e-08,18.94,0.00468887875,98,77
7,2641010700,금정구,구서동,11.0,24.95,3.04e-08,18.94,0.00468887875,98,77
8,2641010200,금정구,노포동,11.0,63.77,3.04e-08,18.94,0.00468887875,98,77
9,2641010100,금정구,두구동,1.0,61.97,3.04e-08,18.94,0.00468887875,98,77
10,2641010400,금정구,남산동,4.5,36.22,3.04e-08,18.94,0.00468887875,98,77
11,2641011100,금정구,금사동,4.5,6.88,3.04e-08,18.94,0.00468887875,98,77
12,2671033000,기장군,철마면,4.5,77.86,1.3600000000000001e-08,7.7,0.0016181553599999999,100,77
13,2671025000,기장군,기장읍,4.5,4.24,1.3600000000000001e-08,7.7,0.0016181553599999999,100,77
14,2671025300,기장군,장안읍,4.5,4.92,1.3600000000000001e-08,7.7,0.0016181553599999999,100,77
15,2671025600,기장군,정관읍,4.5,35.56,1.3600000000000001e-08,7.7,0.0016181553599999999,100,77
16,2671031000,기장군,일광면,4.5,2.03,1.3600000000000001e-08,7.7,0.0016181553599999999,100,77
17,2629010700,남구,용호동,1.0,3.77,2.57e-07,51.82,0.011568915,98,75
18,2617010400,동구,범일동,1.0,2.96,1.98e-07,57.92,0.023885034700000002,98,75
19,2626010200,동래구,안락동,11.0,5.14,2.4e-07,59.03,0.0189862028,98,76
20,2626010800,동래구,온천동,1.0,10.81,2.4e-07,59.03,0.0189862028,98,76
21,2626010600,동래구,수안동,1.0,4.69,2.4e-07,59.03,0.0189862028,98,76
22,2626010900,동래구,사직동,3.0,6.53,2.4e-07,59.03,0.0189862028,98,76
23,2626010700,동래구,명륜동,1.0,7.64,2.4e-07,59.03,0.0189862028,98,76
24,2623011000,부산진구,가야동,4.5,33.43,0.0,45.91,0.022098724,97,75
25,2632010500,북구,구포동,11.0,9.97,1.51e-07,22.17,0.017208249499999998,96,76
26,2632010400,북구,덕천동,45.0,171.04,1.51e-07,22.17,0.017208249499999998,96,76
27,2632010200,북구,화명동,15.0,32.29,1.51e-07,22.17,0.017208249499999998,96,76
28,2653010300,사상구,덕포동,1.0,5.81,3.86e-07,40.23,0.0139393103,96,75
29,2653010600,사상구,주례동,1.0,1.36,3.86e-07,40.23,0.0139393103,96,75
30,2653010400,사상구,괘법동,1.0,2.76,3.86e-07,40.23,0.0139393103,96,75
31,2653010500,사상구,감전동,1.0,2.44,3.86e-07,40.23,0.0139393103,96,75
32,2638010300,사하구,하단동,1.0,2.4,1.49e-07,38.2,0.017684143500000003,96,74
33,2638010500,사하구,장림동,1.0,1.98,1.49e-07,38.2,0.017684143500000003,96,74
34,2638010100,사하구,괴정동,12.5,26.51,1.49e-07,38.2,0.017684143500000003,96,74
35,2638010700,사하구,구평동,1.0,2.52,1.49e-07,38.2,0.017684143500000003,96,74
36,2638010600,사하구,다대동,1.0,2.94,1.49e-07,38.2,0.017684143500000003,96,74
37,2638010800,사하구,감천동,8.5,6.42,1.49e-07,38.2,0.017684143500000003,96,74
38,2614012400,서구,암남동,11.0,1.92,0.0,40.57,0.00925035361,97,74
39,2650010300,수영구,민락동,4.5,2.01,0.0,61.44,0.018647343,99,75
40,2650010200,수영구,수영동,1.0,3.47,0.0,61.44,0.018647343,99,75
41,2650010100,수영구,망미동,11.0,5.8,0.0,61.44,0.018647343,99,75
42,2650010400,수영구,광안동,4.5,3.38,0.0,61.44,0.018647343,99,75
43,2650010500,수영구,남천동,4.5,3.12,0.0,61.44,0.018647343,99,75
44,2647010200,연제구,연산동,1.0,3.43,4.1200000000000004e-07,62.32,0.016386831299999998,98,76
45,2647010100,연제구,거제동,4.5,5.75,4.1200000000000004e-07,62.32,0.016386831299999998,98,76
46,2620012000,영도구,청학동,1.0,3.18,0.0,45.77,0.0130827068,98,74
47,2620010700,영도구,남항동3가,1.0,1.94,0.0,45.77,0.0130827068,98,74
48,2620012100,영도구,동삼동,45.0,31.3,0.0,45.77,0.0130827068,98,74
49,2635010500,해운대구,우동,1.0,3.47,2.1e-07,27.63,0.016808104,99,75
50,2635010200,해운대구,석대동,1.0,6.28,2.1e-07,27.63,0.016808104,99,75
51,2635010100,해운대구,반송동,4.5,3.4,2.1e-07,27.63,0.016808104,99,75
52,2635010300,해운대구,반여동,4.5,2.67,2.1e-07,27.63,0.016808104,99,75
53,2635010600,해운대구,중동,4.5,6.67,2.1e-07,27.63,0.016808104,99,75
54,2635010800,해운대구,송정동,4.5,26.9,2.1e-07,27.63,0.016808104,99,75
55,2617053000,동구,초량제3동,1.0,4.0,1.98e-07,57.92,0.023885035,98,75
